,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,Brand
1768,Mahindra Scorpio VLX,450000,1869000,2012,Dealer,68000,First Owner,Diesel,Manual,12.05,Mahindra
1769,Mahindra Scorpio VLX,355000,1869000,2008,Dealer,97000,First Owner,Diesel,Manual,12.05,Mahindra
1770,Honda Civic 1.8,225000,2525000,2007,Dealer,71000,First Owner,Petrol,Automatic,12.9,Honda
1771,Hyundai i20 1.2,395000,1324000,2013,Dealer,39000,First Owner,Petrol,Manual,17.0,Hyundai
1772,Mahindra XUV500 2011-2015,695000,2337000,2012,Dealer,48000,First Owner,Diesel,Manual,15.1,Mahindra
1773,Honda City i,610000,1698999,2015,Dealer,53000,First Owner,Petrol,Manual,17.4,Honda
1774,Maruti Celerio VXI,325000,657000,2014,Individual,76000,First Owner,Petrol,Manual,23.1,Maruti
1775,Hyundai Verna CRDi,1050000,1809000,2017,Individual,45000,First Owner,Diesel,Manual,22.0,Hyundai
1776,Hyundai Grand i10,575000,742000,2019,Individual,16000,First Owner,Petrol,Automatic,18.9,Hyundai
1777,Hyundai i20 Asta,675000,1284000,2016,Dealer,65000,First Owner,Diesel,Manual,22.54,Hyundai
1778,Honda City 1.5,365000,1698999,2011,Dealer,45000,First Owner,Petrol,Manual,17.0,Honda
1779,Maruti Wagon R,292000,733000,2013,Individual,50000,First Owner,Petrol,Manual,20.51,Maruti
1780,Honda City 1.5,375000,1710000,2008,Dealer,40000,First Owner,Petrol,Automatic,16.8,Honda
1781,Hyundai i20 Asta,425000,1324000,2013,Dealer,27000,First Owner,Petrol,Manual,18.5,Hyundai
1782,Tata Nexon 1.5,835000,1574000,2018,Dealer,16000,First Owner,Diesel,Manual,21.5,Tata
1783,Hyundai i20 1.2,395000,1362000,2013,Dealer,40000,First Owner,Petrol,Manual,17.0,Hyundai
1784,Renault KWID 1.0,400000,599000,2020,Individual,5000,First Owner,Petrol,Automatic,24.04,Renault
1785,Maruti Alto 800,285000,472000,2016,Dealer,29000,First Owner,Petrol,Manual,22.74,Maruti
1786,Maruti Swift VVT,520000,931000,2017,Individual,30000,First Owner,Petrol,Manual,22.0,Maruti
1787,Hyundai Verna CRDi,450000,1811000,2011,Dealer,138886,First Owner,Diesel,Manual,16.8,Hyundai
1788,Mahindra XUV500 AT,1400000,2307000,2015,Individual,60000,First Owner,Diesel,Automatic,16.0,Mahindra
1789,Tata Safari 2005-2017,260000,2141000,2012,Individual,100000,First Owner,Diesel,Manual,11.57,Tata
1790,Hyundai i20 Asta,375000,1324000,2011,Dealer,35000,First Owner,Petrol,Manual,17.0,Hyundai
1791,Maruti Swift VXI,610000,930000,2019,Individual,5000,First Owner,Petrol,Manual,21.21,Maruti
1792,Honda City i,650000,1739000,2015,Individual,70000,First Owner,Diesel,Manual,26.0,Honda
